법인등록번호,회사명,종목코드,KSIC,A대분류,A세분류,B1주업종,B1_2단,B1_3단,밸류체인,가치사슬단계,묶음노드,모수계층,매출액,매출기준,종업원수,상장,출처,기업집단명들
1701110955255,대보에너지솔루션 주식회사,,F42311,건설,시공·건설,건설·시공,,,건설·인프라,5,,T1u,,,,,DART(비상장),
2844110093424,농업회사법인삼주농축산,,G46311,유통,도매·상사,식품·음료,,,,,,T1u,,,,,DART(비상장),
2013110027838,아주통신주식회사,,F42321,건설,시공·건설,건설·시공,,,건설·인프라,5,,T1u,,,,,DART(비상장),
1712110069235,(주)삼영기업,,C30,제조,부품제조,기계·운송기기,완성차·부품,,자동차,3,,T1u,,,,,DART(비상장),
1949110060034,주식회사 태규,,C31114,제조,완제품제조,기계·운송기기,조선·해양,,조선·해양,4,,T1u,,,,,DART(비상장),
1446110004947,주식회사 동진피앤아이,,F42411,건설,시공·건설,건설·시공,,,건설·인프라,5,,T1u,,,,,DART(비상장),
1101114204262,(주)엠스퀘어,,N74100,서비스,인적서비스,사업지원서비스,,,,,,T1u,,,,,DART(비상장),
1413110000077, 주식회사 동효,,H49239,서비스,운송·보관,육상운송,,,유통·물류,,,T1u,,,,,DART(비상장),
1955110269435,휴메디테크(주),,C27191,제조,완제품제조,의료·보건,,,,4,,T1u,,,,,DART(비상장),
1311110326700,주식회사 엘케이엔지니어링,,C29271,제조,완제품제조,기계·운송기기,생산장비,,,4,,T1u,,,,,DART(비상장),
1501110103907,(주)에스엠아이,,C29271,제조,완제품제조,기계·운송기기,생산장비,,,4,,T1u,,,,,DART(비상장),
1101116958502,레드엔비아,,M70113,서비스,인적서비스,의약·바이오,,,,,,T1u,,,,,DART(비상장),
1101113038951,(주)디스트릭트코리아,,J59120,서비스,콘텐츠·SW,미디어·광고·영상,,,콘텐츠·미디어,,,T1u,,,,,DART(비상장),
1101113682360,주식회사 케이비손해사정,,K66201,서비스,금융,보험업,,,금융,,,T1u,,,,,DART(비상장),
1348110352336,주식회사 티엠씨,,C26129,제조,부품제조,전자·정밀,반도체·소자,,반도체,3,,T1u,,,,,DART(비상장),
1101118982517,에스알이문홀딩 주식회사,,K64992,서비스,지주·투자,다품목·범용,,,금융,,Y,T1u,,,,,DART(비상장),
1344110014463,하나환경산업(주),,E38230,서비스,시설·자산운영,에너지·자원·환경,,,신재생에너지,,,T1u,,,,,DART(비상장),
1101115252806,주식회사 리체디앤씨,,L6822,서비스,플랫폼·중개,부동산·임대,,,,,,T1u,,,,,DART(비상장),
1748110002347,주식회사 에이치씨동화주택,,F41112,건설,시공·건설,건설·시공,,,건설·인프라,5,,T1u,,,,,DART(비상장),
1101112316415,(주)텐바이텐,,G4791,유통,소매,다품목·범용,이커머스,,최종소비재,,,T1u,,,,,DART(비상장),
1801111287530,덕산에테르씨티(주),,C25123,제조,부품제조,금속,금속가공,,,3,,T1u,,,,,DART(비상장),
1101111482217,주식회사 한국문화진흥,,N75999,서비스,인적서비스,사업지원서비스,,,,,,T1u,,,,,DART(비상장),
1311110142875,(주)스필,,C2812,제조,완제품제조,기계·운송기기,전력·중전기,,,4,,T1u,,,,,DART(비상장),
1601110423197,주식회사 블루타일랩,,J58221,서비스,콘텐츠·SW,소프트웨어·IT,,,콘텐츠·미디어,,,T1u,,,,,DART(비상장),
1101113253070,주식회사 인앤드아웃,,L6812,서비스,시설·자산운영,부동산·임대,,,,,,T1u,,,,,DART(비상장),
1901110033651,(주)서진산업개발,,F42,건설,시공·건설,건설·시공,,,건설·인프라,5,,T1u,,,,,DART(비상장),
1101110866470,동우건설(주),,F41,건설,시공·건설,건설·시공,,,건설·인프라,5,,T1u,,,,,DART(비상장),
1101118000632,주식회사 스톤건설,,F41122,건설,시공·건설,건설·시공,,,건설·인프라,5,,T1u,,,,,DART(비상장),
1348110004490,(주)동서기공,,C30,제조,부품제조,기계·운송기기,완성차·부품,,자동차,3,,T1u,,,,,DART(비상장),
1101117443859,주식회사 한들종합건축사사무소,,M72111,서비스,인적서비스,전문서비스,,,,,,T1u,,,,,DART(비상장),
1101111042558,(주)서연씨엠씨,,L68121,서비스,시설·자산운영,부동산·임대,,,,,,T1u,,,,,DART(비상장),
1101112173055,(주)한원건설그룹,,F41,건설,시공·건설,건설·시공,,,건설·인프라,5,,T1u,,,,,DART(비상장),
1101140335445,아이엠엠바이오퓨쳐스 유한회사,,K64209,서비스,금융,자산운용업,,,바이오·제약|금융,,,T1u,,,,,DART(비상장),
1101140345501,아이엠엠바이오퓨쳐스제3호 유한회사,,K64209,서비스,금융,자산운용업,,,바이오·제약|금융,,,T1u,,,,,DART(비상장),
1201111265299,주식회사 빠른컴퍼니,,N75995,서비스,인적서비스,사업지원서비스,,,,,,T1u,,,,,DART(비상장),
2841110235361,다원 주식회사,,L68112,서비스,시설·자산운영,부동산·임대,,,,,,T1u,,,,,DART(비상장),
1752110070668,주식회사 에이비씨메탈,,G46791,유통,도매·상사,다품목·범용,,,,,,T1u,,,,,DART(비상장),
1101118854120,엘앤에스밸류제일차 주식회사,,K64999,서비스,지주·투자,다품목·범용,,,금융,,Y,T1u,,,,,DART(비상장),
1345110184016,주식회사 두성,,G46721,유통,도매·상사,금속,,,,,,T1u,,,,,DART(비상장),
1346110027214,주식회사태진엔지니어링,,C29271,제조,완제품제조,기계·운송기기,생산장비,,,4,,T1u,,,,,DART(비상장),
1101116138782,주식회사 베나픽처스,,L68112,서비스,시설·자산운영,부동산·임대,,,,,,T1u,,,,,DART(비상장),
1101110933057,주식회사 알에이청라제일차,,K649,서비스,금융,은행업,,,금융,,,T1u,,,,,DART(비상장),
2045110009152,제이에이치아이에프 주식회사,,L68112,서비스,시설·자산운영,부동산·임대,,,,,,T1u,,,,,DART(비상장),
1101115821023,태영기초개발(주),,F42600,건설,시공·건설,건설·시공,,,건설·인프라,5,,T1u,,,,,DART(비상장),
2844110124849,주식회사 오피스코리아,,L68112,서비스,시설·자산운영,부동산·임대,,,,,,T1u,,,,,DART(비상장),
1701110099746,디에스퍼스트제삼차 주식회사,,K649,서비스,금융,은행업,,,금융,,,T1u,,,,,DART(비상장),
1101110926545,디에스퍼스트제이차 주식회사,,K649,서비스,금융,은행업,,,금융,,,T1u,,,,,DART(비상장),
1101110929906,위드지엠제삼십칠차 주식회사,,K649,서비스,금융,은행업,,,금융,,,T1u,,,,,DART(비상장),
1201110728909,주식회사 한울,,C29241,제조,완제품제조,기계·운송기기,건설·농기계,,,4,,T1u,,,,,DART(비상장),
1348110478992,주식회사 주민이엔지,,F42499,건설,시공·건설,건설·시공,,,건설·인프라,5,,T1u,,,,,DART(비상장),
1348110550724,인테그리스코리아 주식회사,,C20499,제조,소재제조,화학·소재,정밀·기능화학,,,2,,T1u,,,,,DART(비상장),
1101114495308,티케이지엠켐 주식회사,,C20499,제조,소재제조,화학·소재,정밀·기능화학,,,2,,T1u,,,,,DART(비상장),
1615110137509,(주)오일리오,,G47711,유통,소매,에너지·자원·환경,,,최종소비재,,,T1u,,,,,DART(비상장),
1845110010873,금화주강(주),,C24312,제조,소재제조,금속,철강,주조,,2,,T1u,,,,,DART(비상장),
1101113946344,주식회사 새움,,C26,제조,부품제조,전자·정밀,전자기기·모듈,,,3,,T1u,,,,,DART(비상장),
1101111944126,(주)딜라이브티브이,,J60221,서비스,시설·자산운영,미디어·광고·영상,,,콘텐츠·미디어,,,T1u,,,,,DART(비상장),
1746110027315,(주)삼신,,C29199,제조,완제품제조,기계·운송기기,산업기계·로봇,,로봇·자동화,4,,T1u,,,,,DART(비상장),
1911110000237,진주특종제지 주식회사,,C17101,제조,소재제조,화학·소재,제지·포장,,,2,,T1u,,,,,DART(비상장),
2301110042308,디비아쿠아제일차 주식회사,,K64999,서비스,지주·투자,다품목·범용,,,금융,,Y,T1u,,,,,DART(비상장),
1301110006361,(주)광진상공,,C30,제조,부품제조,기계·운송기기,완성차·부품,,자동차,3,,T1u,,,,,DART(비상장),
1101116203246,주식회사 대산정보,,G46522,유통,도매·상사,전자·정밀,,,,,,T1u,,,,,DART(비상장),
1101110944639,디에스당산제이차 주식회사 ,,K64999,서비스,지주·투자,다품목·범용,,,금융,,Y,T1u,,,,,DART(비상장),
2101110201823,광현이엔피,,C28202,제조,부품제조,전자·정밀,전지·전원부품,,이차전지,3,,T1u,,,,,DART(비상장),
1101110944615,디에스당산제일차 주식회사 ,,K64999,서비스,지주·투자,다품목·범용,,,금융,,Y,T1u,,,,,DART(비상장),
1201111039818,주식회사 덕신코퍼레이션,,C22299,제조,소재제조,화학·소재,플라스틱제품,,,2,,T1u,,,,,DART(비상장),
1101117203592,주식회사 파메어스,,C20423,제조,완제품제조,화장품·뷰티,,,최종소비재,4,,T1u,,,,,DART(비상장),
1101110672132,(주)진화기술공사,,M72121,서비스,인적서비스,전문서비스,,,,,,T1u,,,,,DART(비상장),
1358110233212,주식회사 오스카빌,,F41119,건설,시공·건설,건설·시공,,,건설·인프라,5,,T1u,,,,,DART(비상장),
1201111160077,만수바이오텍 주식회사,,E37011,서비스,시설·자산운영,에너지·자원·환경,,,바이오·제약,,,T1u,,,,,DART(비상장),
1349110121169,주식회사 기프티비즈,,N75999,서비스,인적서비스,사업지원서비스,,,,,,T1u,,,,,DART(비상장),
1314110365637,주식회사 서울팩토리,,C11209,제조,완제품제조,식품·음료,,,농식품,4,,T1u,,,,,DART(비상장),
1801111421873,(주)더코어산업개발,,F41112,건설,시공·건설,건설·시공,,,건설·인프라,5,,T1u,,,,,DART(비상장),
1801111042520,(주)더키스톤파트너스,,L68121,서비스,시설·자산운영,부동산·임대,,,,,,T1u,,,,,DART(비상장),
1101113146712,(주)가림트레이딩앤디자인,,G46591,유통,도매·상사,기계·운송기기,,,,,,T1u,,,,,DART(비상장),
1101117360954,(주)헤드웨이파트너스대부,,K64919,서비스,금융,여신전문금융업,,,금융,,,T1u,,,,,DART(비상장),
1314110272642,주식회사 웰스파트너스대부,,K64919,서비스,금융,여신전문금융업,,,금융,,,T1u,,,,,DART(비상장),
1101114178730,(주)아이엠캐피탈,,K64911,서비스,금융,여신전문금융업,,,금융,,,T1u,,,,,DART(비상장),
1101110309446,(주)동아스트,,C13224,제조,소재제조,의류·패션,,,,2,,T1u,,,,,DART(비상장),
1101116383709,디비인베스트먼트 주식회사,,M71531,서비스,인적서비스,전문서비스,,,,,,T1u,,,,,DART(비상장),
1146340031493,신정회계법인,,M71201,서비스,인적서비스,전문서비스,,,,,,T1u,,,,,DART(비상장),
1101114860626,(주)더블유엠엔터테인먼트,,M73901,서비스,인적서비스,전문서비스,,,,,,T1u,,,,,DART(비상장),
1101112071481,한원마리타임(주),,H5299,서비스,운송·보관,창고·물류,,,유통·물류,,,T1u,,,,,DART(비상장),
1345110517374,케이스퀘어그랜드강서피에프브이 주식회사,,L68121,서비스,시설·자산운영,부동산·임대,,,,,,T1u,,,,,DART(비상장),
1101110917129,한솔제사십구차 주식회사,,K649,서비스,금융,은행업,,,금융,,,T1u,,,,,DART(비상장),
1101110940350,대신알씨제삼차 주식회사,,K64999,서비스,지주·투자,다품목·범용,,,금융,,Y,T1u,,,,,DART(비상장),
1101110940108,대신알씨제이차 주식회사,,K64999,서비스,지주·투자,다품목·범용,,,금융,,Y,T1u,,,,,DART(비상장),
1101110940392,대신알씨제일차 주식회사,,K64999,서비스,지주·투자,다품목·범용,,,금융,,Y,T1u,,,,,DART(비상장),
1314110313404,(주)한국에이엠에프,,A02,자원,자원채취,농림수산,임업,,농식품,1,,T1u,,,,,DART(비상장),
1101110939898,에스와이선릉제일차 주식회사,,K64999,서비스,지주·투자,다품목·범용,,,금융,,Y,T1u,,,,,DART(비상장),
1501110334031,이도그린진천 주식회사,,M71531,서비스,인적서비스,전문서비스,,,,,,T1u,,,,,DART(비상장),
1201111410703,온힐파트너스,,M71531,서비스,인적서비스,전문서비스,,,,,,T1u,,,,,DART(비상장),
1101118186044,주식회사 헤메코,,C20423,제조,완제품제조,화장품·뷰티,,,최종소비재,4,,T1u,,,,,DART(비상장),
1101115405249,(주)투믹스,,J63120,서비스,플랫폼·중개,소프트웨어·IT,,,통신·데이터,,,T1u,,,,,DART(비상장),
1342110013756,서울통신(주),,C28302,제조,소재제조,금속,비철금속,전선·케이블,,2,,T1u,,,,,DART(비상장),
1955110193600,주식회사 대성축산기업,,C15110,제조,완제품제조,의류·패션,,,최종소비재,4,,T1u,,,,,DART(비상장),
1101116973188,(주)티오더,,J58221,서비스,콘텐츠·SW,소프트웨어·IT,,,콘텐츠·미디어,,,T1u,,,,,DART(비상장),
1348110012948,(주)와이원글라스,,C23191,제조,소재제조,화학·소재,건축소재,,,2,,T1u,,,,,DART(비상장),
1101114872598,(주)이수이엔지,,C29192,제조,완제품제조,기계·운송기기,산업기계·로봇,,로봇·자동화,4,,T1u,,,,,DART(비상장),
1348110444836,주식회사 엘피케이하이테크,,C29293,제조,완제품제조,기계·운송기기,생산장비,,,4,,T1u,,,,,DART(비상장),
1244110138257,주식회사 세종바이오팜,,C10897,제조,완제품제조,식품·음료,,,바이오·제약|농식품,4,,T1u,,,,,DART(비상장),
1613110044609,주식회사 제이에이치포크,,C1012,제조,완제품제조,식품·음료,,,농식품,4,,T1u,,,,,DART(비상장),
1345110399607,(주)모스전자,,C28121,제조,완제품제조,기계·운송기기,전력·중전기,,,4,,T1u,,,,,DART(비상장),
1101119121544,와이드크릭안성당목일반사모부동산투자회사,,L68122,서비스,시설·자산운영,부동산·임대,,,,,,T1u,,,,,DART(비상장),
1101110917734,아이엠히어로제삼차 주식회사,,K649,서비스,금융,은행업,,,금융,,,T1u,,,,,DART(비상장),
1612110054650,공주의당아스콘 주식회사,,C23991,제조,소재제조,화학·소재,건축소재,,,2,,T1u,,,,,DART(비상장),
1201111269910,주식회사 힐링웨이,,L6811,서비스,시설·자산운영,부동산·임대,,,,,,T1u,,,,,DART(비상장),
1314110223158,(주)안산프라자,,G47312,유통,소매,전자·정밀,전자기기·모듈,,최종소비재,,,T1u,,,,,DART(비상장),
1244110264317,(주)씨앤에스푸드,,C10122,제조,완제품제조,식품·음료,,,농식품,4,,T1u,,,,,DART(비상장),
1101113627449,(주)친화건설,,L68111,서비스,시설·자산운영,부동산·임대,,,,,,T1u,,,,,DART(비상장),
1445110011514,호진개발 주식회사,,F41112,건설,시공·건설,건설·시공,,,건설·인프라,5,,T1u,,,,,DART(비상장),
1101114591669,주식회사 한길아이텍,,G46592,유통,도매·상사,기계·운송기기,,,,,,T1u,,,,,DART(비상장),
1760110159374,주식회사 지오에이,,C29299,제조,완제품제조,기계·운송기기,생산장비,,,4,,T1u,,,,,DART(비상장),
2301110344497,주식회사 부천,,C24219,제조,소재제조,금속,비철금속,제련·정련,,2,,T1u,,,,,DART(비상장),
1950110009691,(주) 삼도인더스트리,,C29222,제조,완제품제조,기계·운송기기,생산장비,,,4,,T1u,,,,,DART(비상장),
1341110533170,주식회사 자연드림,,G468,유통,도매·상사,다품목·범용,,,,,,T1u,,,,,DART(비상장),
