구분,고유번호,종목코드,회사명,induty_code,법인등록번호
상장,01455492,373160,(주)데이원컴퍼니,85669,1101116377877
상장,00877819,263800,(주)데이타솔루션,465,1101114504901
상장,00553025,199150,(주)데이터스트림즈,58221,1101112331918
상장,00114321,013650,(주)데코,14112,1101110242985
상장,01021949,206560,(주)덱스터스튜디오,59120,2850110209804
상장,00526599,145720,(주)덴티움,27191,1351110052892
상장,01380578,484120,(주)도우인시스,26211,1501110134952
상장,00450728,078610,(주)도움,2642,1211110061647
상장,00114552,002150,(주)도화엔지니어링,72121,1101110037740
상장,00114686,006620,(주)동구바이오제약,212,1101110352156
상장,00472890,075970,(주)동국알앤에스,239,1955110069249
상장,00415594,100130,(주)동국에스엔씨,2511,1101112276784
상장,00115065,023450,(주)동남합성,201,1101110057012
상장,00115287,004140,(주)동방,529,1101110124521
상장,00203458,025690,(주)동방라이텍,28410,1101110553192
상장,01073261,240550,(주)동방메디컬,271,1645110024117
상장,00526678,099410,(주)동방선기,31114,1941110002884
상장,00115384,007590,(주)동방아그로,2032,1101110124969
상장,00144395,026960,(주)동서,4632,1101110180888
상장,00358545,055000,(주)동서정보기술,58221,1101111259525
상장,00679314,102260,(주)동성케미컬,20202,1801110633031
상장,00165529,013450,(주)동성하이켐,20111,1101110237928
상장,00231105,033500,(주)동성화인텍,201,1101110404361
상장,00116356,005190,(주)동성화학,201,1801110007690
상장,00489243,088130,(주)동아엘텍,292,1341110065470
상장,00178754,028100,(주)동아지질,421,1801110019843
상장,00117337,001520,(주)동양,23322,1101110005333
상장,00117072,005900,(주)동양건설산업,41221,1101110004038
상장,00540641,084670,(주)동양고속,49220,1341110131073
상장,00178851,060380,(주)동양에스텍,241,1601110004426
상장,00695969,094170,(주)동운아나텍,2611,1101113487546
상장,00340917,049770,(주)동원F&B,108,1101112101816
상장,00117966,013120,(주)동원개발,41112,1801110029438
상장,00367710,111380,(주)동인기연,151,1244110014316
상장,00199076,032960,(주)동일기연,2629,1341110012687
상장,00118804,005290,(주)동진쎄미켐,20129,1201110003848
상장,00119423,033330,(주)두림티앤씨,22214,1101110376750
상장,00117212,000150,(주)두산,26221,1101110013774
상장,00563545,131970,(주)두산테스나,739,1311110082427
상장,00119672,016740,(주)두올,303,1101110343957
상장,00407771,073190,(주)듀오백,32091,1201110040676
상장,00867034,176750,(주)듀켐바이오,212,1101112647604
상장,00230036,030350,(주)드래곤플라이,5821,1101110685309
상장,01038693,203650,(주)드림시큐리티,582,1101115448356
상장,00916826,223250,(주)드림씨아이에스,70113,1101111953953
상장,00364467,060570,(주)드림어스컴퍼니,603,1101111637383
상장,00415646,192650,(주)드림텍,2629,1615110027883
상장,01066030,220110,(주)드림티엔터테인먼트,73901,1101114146745
상장,00125725,016670,(주)디모아,467,1101110340979
상장,00624509,187870,(주)디바이스,29271,1615110052450
상장,00441298,080140,(주)디보스,26,1760110021333
상장,00291152,041500,(주)디비엘,21309,1101110935283
상장,00118275,003160,(주)디아이,27212,1101110039209
상장,00302801,074130,(주)디아이디,26211,1615110027677
상장,00112165,092200,(주)디아이씨,303,1801110025147
상장,00118266,004840,(주)디알비동일,221,1801110000339
상장,00966168,263690,(주)디알젬,27111,1101112863789
상장,01062867,214680,(주)디알텍,271,1101115633585
상장,01376715,347850,(주)디앤디파마텍,70113,1101115575662
상장,00581000,090090,(주)디앤샵,4791,1101113449843
상장,00314888,051710,(주)디에스,26211,1348110038241
상장,00812362,141020,(주)디에스앤엘,479,1311110170264
상장,00442905,104040,(주)디에스엠,30399,1901110037223
상장,00530121,109740,(주)디에스케이,29272,1341110045290
상장,00165565,016040,(주)디에스피이엔티,30,1301110010312
상장,00126089,000300,(주)디에이치오토넥스,303,1101110085541
상장,01182578,290120,(주)디에이치오토리드,30399,2101110118854
상장,00110583,025440,(주)디에이치오토웨어,265,1101110254344
상장,00264981,045260,(주)디에이치패션,467,1101111468952
상장,00660121,196490,(주)디에이테크놀로지,29271,1101111958888
상장,00303192,066900,(주)디에이피,2622,1244110006602
상장,00569691,092070,(주)디엔에프,2049,1601110109896
상장,00116949,007340,(주)디엔오토모티브,28202,1845110000642
상장,00361594,068790,(주)디엠에스,292,1346110012687
상장,00115931,039840,(주)디오,27192,1845110003290
상장,01089378,219550,(주)디와이디,464,1101115703594
상장,00149804,002880,(주)디와이에이,303,1115110000136
상장,00117382,004510,(주)디와이홀딩스,29162,1243110001795
상장,00295547,043360,(주)디지아이,263,1115110015359
상장,00627029,099520,(주)디지아이티엑스,26519,1101111517709
상장,00681373,197140,(주)디지캡,58221,1101111928295
상장,00398808,068930,(주)디지털대성,855,1101111902835
상장,00543231,091690,(주)디지텍시스템스,263,1350110106093
상장,00231442,033130,(주)디지틀조선일보,631,1101111201071
상장,00892526,263020,(주)디케이앤디,22214,1101111967243
상장,01137903,290550,(주)디케이티,26224,1201110615990
상장,00371740,066670,(주)디티씨,681,1760110017077
상장,00675594,187220,(주)디티앤씨,729,1311110053874
상장,00228916,030420,(주)디패션,63991,1101110609127
상장,00632331,189700,(주)디피앤케이,141,2001110244742
상장,01072518,163430,(주)디피코,302,1350110081948
상장,00629212,131180,(주)딜리,26323,1154110011579
상장,01461730,483350,(주)딜리셔스,47911,1101114522169
상장,01504211,462510,(주)라메디텍,2711,1101114778316
상장,00911229,232680,(주)라온로보틱스,29280,1201110216699
상장,00317104,171120,(주)라이온켐텍,2049,1601110004947
