단위,모법인,이름,A세분류,B1주업종,B1_2단,매출,판정근거
법인,,아시아퍼시픽3호선박투자회사,시설·자산운영,기계·운송기기,,,KSIC
법인,,한국저축은행(주),금융,은행업,,,KSIC
법인,,미리넷(주),부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)유일엔시스,완제품제조,기계·운송기기,산업기계·로봇,,KSIC
법인,,(주)케이피케미칼,소재제조,화학·소재,석유화학·기초,,KSIC
법인,,(주)이루넷,콘텐츠·SW,미디어·광고·영상,,,KSIC
법인,,(주)유에이블,완제품제조,의류·패션,,,KSIC
법인,,(주)경윤하이드로에너지,완제품제조,기계·운송기기,산업기계·로봇,,KSIC
법인,,(주)롯데미도파,소매,다품목·범용,,,KSIC
법인,,한화에스브이명장제1호기업인수목적(주),금융,증권·투자매매업,,,KSIC
법인,,(주)셀텍,소재제조,의류·패션,,,KSIC
법인,,(주)위다스,완제품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)에스와이코퍼레이션,완제품제조,의료·보건,,,KSIC
법인,,어울림 네트웍스(주),완제품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)에이디모터스,완제품제조,의료·보건,,,KSIC
법인,,평안물산(주),부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)아큐텍,부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,히든챔피언제1호기업인수목적(주),금융,은행업,,,KSIC
법인,,동북아2호선박투자회사,인적서비스,전문서비스,,,KSIC
법인,,금강제강(주),소재제조,금속,,,KSIC
법인,,(주)아라온테크,콘텐츠·SW,소프트웨어·IT,,,KSIC
법인,,(주)대국,도매·상사,다품목·범용,,,KSIC
법인,,글로웍스(주),콘텐츠·SW,소프트웨어·IT,,,KSIC
법인,,동북아3호선박투자회사,인적서비스,전문서비스,,,KSIC
법인,,(주)지아이바이오,인적서비스,소프트웨어·IT,,,KSIC
법인,,주식회사 알에스넷,도매·상사,다품목·범용,,,KSIC
법인,,나이스메탈(주),부품제조,전자·정밀,반도체·소자,,KSIC
법인,,하나IB증권 주식회사,금융,증권·투자매매업,,,KSIC
법인,,퓨쳐비젼(주),부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,이레전자산업(주),완제품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)레이더스컴퍼니,콘텐츠·SW,소프트웨어·IT,,,KSIC
법인,,(주)포이보스,완제품제조,화학·소재,제지·포장,,KSIC
법인,,(주)미디어코프,콘텐츠·SW,미디어·광고·영상,,,KSIC
법인,,(주)케이디세코,부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)이노블루,도매·상사,다품목·범용,,,KSIC
법인,,(주)도움,완제품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)엑스씨이,콘텐츠·SW,소프트웨어·IT,,,KSIC
법인,,코오롱유화(주),소재제조,화학·소재,석유화학·기초,,KSIC
법인,,(주)세라온홀딩스,부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,현대경매부동산일호투자회사,금융,자산운용업,,,KSIC
법인,,우수씨엔에스(주),완제품제조,의류·패션,,,KSIC
법인,,동북아31호선박투자회사,인적서비스,전문서비스,,,KSIC
법인,,후야인포넷(주),부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)이레아이엔씨,완제품제조,기계·운송기기,산업기계·로봇,,KSIC
법인,,(주)카스코,부품제조,기계·운송기기,완성차·부품,,KSIC
법인,,(주)모델라인,완제품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)청람디지탈,완제품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)한텔,완제품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)코스모스피엘씨,콘텐츠·SW,소프트웨어·IT,,,KSIC
법인,,(주)나노하이텍,부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)쓰리소프트,콘텐츠·SW,소프트웨어·IT,,,KSIC
법인,,(주)트라이콤,도매·상사,다품목·범용,,,KSIC
법인,,케이엔에스홀딩스(주),부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)지비에스,부품제조,금속,,,KSIC
법인,,(주)피더블유제네틱스,인적서비스,소프트웨어·IT,,,KSIC
법인,,엠텍반도체(주),완제품제조,기계·운송기기,산업기계·로봇,,KSIC
법인,,(주)세니콘,완제품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,유씨아이콜스(주),콘텐츠·SW,소프트웨어·IT,,,KSIC
법인,,코크렙제3호CR리츠,시설·자산운영,부동산·임대,,,KSIC
법인,,(주)아이티센네트웍스,인적서비스,소프트웨어·IT,,,KSIC
법인,,리얼티코리아제1호기업구조조정부동산투자(주),시설·자산운영,부동산·임대,,,KSIC
법인,,(주)BHK,도매·상사,다품목·범용,,,KSIC
법인,,(주)포넷,콘텐츠·SW,미디어·광고·영상,,,KSIC
법인,,맥슨텔레콤(주),완제품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,엔토리노(주),완제품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)두림티앤씨,소재제조,화학·소재,석유화학·기초,,KSIC
법인,,동북아27호선박투자회사,인적서비스,전문서비스,,,KSIC
법인,,동북아28호선박투자회사,인적서비스,전문서비스,,,KSIC
법인,,동북아30호선박투자회사,인적서비스,전문서비스,,,KSIC
법인,,동북아29호선박투자회사,인적서비스,전문서비스,,,KSIC
법인,,현주컴퓨터(주),부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,LG석유화학(주),소재제조,화학·소재,석유화학·기초,,KSIC
법인,,(주)오브제,완제품제조,의류·패션,,,KSIC
법인,,(주)휴닉스,부품제조,전자·정밀,기판·PCB,,KSIC
법인,,세이프아시아(주),인적서비스,사업지원서비스,,,KSIC
법인,,(주)코크렙제1호기업구조조정부동산투자회사,시설·자산운영,부동산·임대,,,KSIC
법인,,(주)위너스인프라인,완제품제조,의류·패션,,,KSIC
법인,,AP우주통신(주),부품제조,전자·정밀,전자기기·모듈,,KSIC
법인,,(주)조이토토,콘텐츠·SW,소프트웨어·IT,,,KSIC
법인,,(주)한도하이테크,인적서비스,소프트웨어·IT,,,KSIC
법인,,(주)에너윈,인적서비스,소프트웨어·IT,,,KSIC
법인,,유레스메리츠제1호,시설·자산운영,부동산·임대,,,KSIC
법인,,교보메리츠퍼스트기업구조조정부동산투자회사,시설·자산운영,부동산·임대,,,KSIC
법인,,굿앤리치부동산공경매투자회사1호,금융,자산운용업,,,KSIC
법인,,한국합섬(주),소재제조,의류·패션,,,KSIC
법인,,굿앤리치부동산공경매투자회사2호,금융,자산운용업,,,KSIC
법인,,(주)디에스피이엔티,부품제조,기계·운송기기,완성차·부품,,KSIC
법인,,(주)시큐어소프트,콘텐츠·SW,소프트웨어·IT,,,KSIC
법인,,동부일렉트로닉스(주),부품제조,전자·정밀,반도체·소자,,KSIC
