기업집단명,소속회사명,법인등록번호,KSIC,영위업종,종업원수,매출액,기업공개일,A세분류,A대분류,B1주업종,B1_2단,묶음노드,모수계층,판정근거
한솔,한솔티씨에스(주),1801110831081,H5299,그 외 기타 운송관련 서비스업,47,"58,876",,운송·보관,서비스,창고·물류,,,T2,KSIC H5299
한솔,한솔페이퍼텍(주),2043110008603,C1721,골판지 및 골판지 가공제품 제조업,138,"113,906",,소재제조,제조,화학·소재,제지·포장,,T2,KSIC C1721
한솔,한솔피엔에스(주),1101110175970,G4645,"생활용 포장ㆍ위생용품, 문구용품 및 출판 인쇄물 도매업",305,"298,571",,도매·상사,유통,생활용품·가구,,,T2,KSIC G4645
한솔,한솔홀딩스(주),1101110017867,K6499,그 외 기타 금융업,49,"32,262",1972/05/17,지주·투자,서비스,다품목·범용,,Y,T2,K6499 지주회사
한국앤컴퍼니그룹(舊 한국타이어),한온시스템(주),1347110002206,C2917,"냉각, 공기조화, 여과, 증류 및 가스발생기 제조업","2,223","3,930,040",,완제품제조,제조,기계·운송기기,산업기계·로봇,,T2,KSIC C2917
한국앤컴퍼니그룹(舊 한국타이어),한온시스템이에프피(주),1101116837227,K6499,그 외 기타 금융업,0,0,,,,,,,모수밖,매출 0
한국앤컴퍼니그룹(舊 한국타이어),한온시스템이에프피코리아(주),1615110003781,C3031,자동차 엔진용 신품 부품 제조업,196,"172,282",,부품제조,제조,기계·운송기기,완성차·부품,,T2,KSIC C3031
지에스,한울사랑(유),2062140018367,N7599,그 외 기타 사업지원 서비스업,43,769,,인적서비스,서비스,사업지원서비스,,,T2,KSIC N7599
한진,한진부산컨테이너터미널(주),1941110012875,H5292,수상 운송지원 서비스업,425,"187,227",,운송·보관,서비스,창고·물류,,,T2,KSIC H5292
한진,한진세이버(주),1101113010925,J6399,그 외 기타 정보 서비스업,37,"21,143",,플랫폼·중개,서비스,소프트웨어·IT,,,T2,KSIC J6399
한진,한진울산신항운영(주),2301110175389,H5292,수상 운송지원 서비스업,6,"6,101",,운송·보관,서비스,창고·물류,,,T2,KSIC H5292
한진,한진인천컨테이너터미널(주),1201110730821,H5292,수상 운송지원 서비스업,147,"73,357",,운송·보관,서비스,창고·물류,,,T2,KSIC H5292
한진,한진정보통신(주),1101110657259,J6202,"컴퓨터시스템 통합 자문, 구축 및 관리업",435,"240,270",,인적서비스,서비스,소프트웨어·IT,,,T2,KSIC J6202
한진,한진평택컨테이너터미널(주),1313110054589,H5292,수상 운송지원 서비스업,138,"36,193",,운송·보관,서비스,창고·물류,,,T2,KSIC H5292
한화,한화갤러리아(주),1101118570891,G4711,대형 종합 소매업,761,"404,341",2023/03/31,소매,유통,다품목·범용,,,T2,KSIC G4711
한화,한화넥스트(주),1101118288337,R9113,기타 스포츠시설 운영업,16,"1,800",,시설·자산운영,서비스,레저·숙박·스포츠,,,T2,KSIC R9113
한화,한화라이프랩(주),1101113199349,K6620,보험 및 연금관련 서비스업,110,"208,644",,금융,서비스,보험업,,,T2,KSIC K6620
한화,한화로보틱스(주),1311110716977,C2928,산업용 로봇 제조업,163,"11,333",,완제품제조,제조,기계·운송기기,산업기계·로봇,,T2,KSIC C2928
한화,한화모멘텀(주),1311110740447,C2922,가공 공작기계 제조업,629,"397,333",,완제품제조,제조,기계·운송기기,산업기계·로봇,,T2,KSIC C2922
한화,한화비전(주),1311110745562,C2642,방송 및 무선 통신장비 제조업,"1,025","821,604",2024/09/27,완제품제조,제조,전자·정밀,전자기기·모듈,,T2,KSIC C2642
한화,한화생명금융서비스(주),1101117837226,K6620,보험 및 연금관련 서비스업,"1,417","2,439,735",,금융,서비스,보험업,,,T2,KSIC K6620
한화,한화생명보험(주),1101110003204,K6511,생명 보험업,"2,801","14,474,187",2010/03/17,금융,서비스,보험업,,,T2,KSIC K6511
한화,한화세미텍(주),1942110273326,C2927,반도체 및 디스플레이 제조용 기계 제조업,847,"431,216",,완제품제조,제조,기계·운송기기,산업기계·로봇,,T2,KSIC C2927
한화,한화손해보험(주),1101110006456,K6512,손해 및 보증 보험업,"3,785","6,979,577",1975/06/30,금융,서비스,보험업,,,T2,KSIC K6512
한화,한화손해사정(주),1101113192913,K6620,보험 및 연금관련 서비스업,582,"54,708",,금융,서비스,보험업,,,T2,KSIC K6620
한화,한화솔라파워(주),1101116426434,D3511,발전업,0,0,,,,,,,모수밖,매출 0
한화,한화솔라파워글로벌(주),1101116560745,D3511,발전업,0,0,,,,,,,모수밖,매출 0
한화,한화솔루션(주),1101110360935,C2011,기초 유기 화학물질 제조업,"5,910","5,739,541",1974/06/19,소재제조,제조,화학·소재,석유화학·기초,,T2,KSIC C2011
한화,한화시스템(주),1760110020640,C2629,기타 전자부품 제조업,"4,966","3,091,485",2019/11/13,부품제조,제조,전자·정밀,전자기기·모듈,,T2,KSIC C2629
한화,한화신한테라와트아워(주),1101118731964,D3513,전기 판매업,7,"4,684",,시설·자산운영,서비스,에너지·자원·환경,,,T2,KSIC D3513
한화,한화에너지(주),1101113807223,D3511,발전업,762,"911,959",,시설·자산운영,서비스,에너지·자원·환경,,,T2,KSIC D3511
한화,한화에비에이션(주),1942110381179,K6499,그 외 기타 금융업,0,0,,,,,,,모수밖,매출 0
한화,한화에어로스페이스(주),1942110000480,C2520,무기 및 총포탄 제조업,"8,104","9,525,138",1987/05/27,부품제조,제조,금속,,,T2,KSIC C2520
한화,한화엔엑스엠디(주),1311110661552,C2629,기타 전자부품 제조업,94,"112,026",,부품제조,제조,전자·정밀,전자기기·모듈,,T2,KSIC C2629
한화,한화엔진(주),1942110038423,C2911,내연기관 및 터빈 제조업; 항공기용 및 차량용 제외,899,"1,371,057",2011/01/04,완제품제조,제조,기계·운송기기,산업기계·로봇,,T2,KSIC C2911
한화,한화오션(주),1101112095837,C3111,선박 및 수상 부유 구조물 건조업,"10,579","12,903,594",2001/02/02,완제품제조,제조,기계·운송기기,조선·해양,,T2,KSIC C3111
한화,한화오션에코텍(주),2046110025990,C3111,선박 및 수상 부유 구조물 건조업,136,"173,021",,완제품제조,제조,기계·운송기기,조선·해양,,T2,KSIC C3111
한화,한화오션엔지니어링(주),1949110061264,M7291,"기술 시험, 검사 및 분석업",447,"52,479",,인적서비스,서비스,전문서비스,,,T2,KSIC M7291
한화,한화위탁관리부동산투자회사(주),1101118294037,L6811,부동산 임대업,0,"52,416",2023/03/27,시설·자산운영,서비스,부동산·임대,,,T2,KSIC L6811
한화,한화이센셜(주),1313110256721,C2629,기타 전자부품 제조업,276,"111,934",,부품제조,제조,전자·정밀,전자기기·모듈,,T2,KSIC C2629
한화,한화인베스트먼트(주),1101117915337,K6420,신탁업 및 집합투자업,7,96,,금융,서비스,자산운용업,,,T2,KSIC K6420
한화,한화임팩트(주),1614110001243,M7160,기타 전문 서비스업,364,"2,648,920",,인적서비스,서비스,전문서비스,,,T2,KSIC M7160
한화,한화임팩트글로벌(주),1101116773687,M7160,기타 전문 서비스업,0,0,,,,,,,모수밖,매출 0
한화,한화자산운용(주),1101110571201,K6420,신탁업 및 집합투자업,401,"161,551",,금융,서비스,자산운용업,,,T2,KSIC K6420
한화,한화첨단소재(주),1101118496279,C2020,합성고무 및 플라스틱 물질 제조업,585,"440,382",,소재제조,제조,화학·소재,석유화학·기초,,T2,KSIC C2020
한화,한화커넥트(주),1101110544133,G4711,대형 종합 소매업,36,"201,563",,소매,유통,다품목·범용,,,T2,KSIC G4711
한화,한화컴파운드(주),1615110001861,C2020,합성고무 및 플라스틱 물질 제조업,130,"166,482",,소재제조,제조,화학·소재,석유화학·기초,,T2,KSIC C2020
한화,한화케미칼오버시즈홀딩스(주),1101114137207,N7599,그 외 기타 사업지원 서비스업,0,0,,,,,,,모수밖,매출 0
한화,한화토탈에너지스(주),1614110013066,C2011,기초 유기 화학물질 제조업,"1,837","10,724,285",,소재제조,제조,화학·소재,석유화학·기초,,T2,KSIC C2011
한화,한화투자증권(주),1101110003155,K6612,증권 및 선물 중개업,"1,045","2,985,549",1986/11/25,금융,서비스,증권·투자매매업,,,T2,KSIC K6612
한화,한화파워(주),1942110273318,C2913,"펌프 및 압축기 제조업; 탭, 밸브 및 유사장치 제조 포함",666,"446,436",,완제품제조,제조,기계·운송기기,산업기계·로봇,,T2,KSIC C2913
한화,한화푸드테크(주),1101117942778,I5612,외국식 음식점업,829,"130,273",,인적서비스,서비스,외식·급식,,,T2,KSIC I5612
한화,한화피플라이프(주),1101112913716,K6620,보험 및 연금관련 서비스업,382,"429,900",,금융,서비스,보험업,,,T2,KSIC K6620
한화,한화호텔앤드리조트(주),1101110249709,I5510,일반 및 생활 숙박시설 운영업,"3,381","680,729",,시설·자산운영,서비스,레저·숙박·스포츠,,,T2,KSIC I5510
중흥건설,합자회사 중흥주택,2001130002154,L6812,부동산 개발 및 공급업,5,"22,383",,시설·자산운영,서비스,부동산·임대,,,T2,KSIC L6812
지에스,해남솔라행복한동행(주),2014110003122,D3511,발전업,0,0,,,,,,,모수밖,매출 0
한화,해모둠태양광(주),1614110047445,D3511,발전업,1,"2,208",,시설·자산운영,서비스,에너지·자원·환경,,,T2,KSIC D3511
현대자동차,해비치컨트리클럽(주),1101110616049,R9112,골프장 및 스키장 운영업,78,"16,733",,시설·자산운영,서비스,레저·숙박·스포츠,,,T2,KSIC R9112
현대자동차,해비치호텔앤드리조트(주),2241110006681,I5510,일반 및 생활 숙박시설 운영업,"1,067","131,827",,시설·자산운영,서비스,레저·숙박·스포츠,,,T2,KSIC I5510
에스케이,해솔라에너지(주),2011110050106,D3511,발전업,2,"23,071",,시설·자산운영,서비스,에너지·자원·환경,,,T2,KSIC D3511
에스케이,해쌀태양광(주),1614110049376,D3511,발전업,0,0,,,,,,,모수밖,매출 0
BS,해원에스티(주),2001110065213,C2419,기타 1차 철강 제조업,1,0,,,,,,,모수밖,매출 0
BS,해원엠에스씨(주),2013110025189,C2412,"철강 압연, 압출 및 연신제품 제조업",1,667,,소재제조,제조,금속,철강,,T2,KSIC C2412
엘지,해태에이치티비(주),1101110900004,C1120,비알코올 음료 및 얼음 제조업,649,"374,197",,완제품제조,제조,식품·음료,,,T2,KSIC C1120
지에스,햇들원지붕형태양광1호(주),1345110578996,D3511,발전업,0,"2,010",,시설·자산운영,서비스,에너지·자원·환경,,,T2,KSIC D3511
지에스,햇들원지붕형태양광2호(주),1345110671815,D3513,전기 판매업,0,30,,시설·자산운영,서비스,에너지·자원·환경,,,T2,KSIC D3513
에스케이,행복나래(주),1101112016940,G4653,산업용 기계 및 장비 도매업,257,"889,659",,도매·상사,유통,기계·운송기기,,,T2,KSIC G4653
에스케이,행복나무(주),1301110125488,N7599,그 외 기타 사업지원 서비스업,19,0,,,,,,,모수밖,매출 0
