고유번호,법인등록번호,회사명,최대주주연도,출자연도,오류
00533508,1101111551749,제이엠티(주),2025,2025,
00405320,1101111955694,(주)웹젠,2025,2025,
00203023,1746110004644,(주)시노펙스,2025,2025,
00609661,1101111942485,(주)티쓰리엔터테인먼트,2025,2025,
00216498,1101110574669,(주)성도이엔지,2025,2025,
00298340,1346110009460,(주)에스티아이,2025,2025,
00161444,1101110303539,(주)한국씨티은행,2025,2025,
01174038,1101116178564,(주)자비스,2025,2025,
00108977,1701110003814,(주)대구백화점,2025,2025,
00858124,1345110147171,알에스오토메이션(주),2025,2025,
00148522,1942110000133,퍼스텍(주),2025,2025,
00335076,1101110889836,(주)오픈베이스,2025,2025,
00134963,1801110000636,송원산업(주),2025,2025,
00441650,1760110032132,(주)케이씨에스,2025,2025,
00127909,1746110001244,(주)삼일,2025,2025,
00243757,1101111166803,인포뱅크(주),2025,2025,
00478900,1358110087297,(주)빅솔론,2025,2025,
00148948,1101110086599,(주)조비,2025,2025,
01405390,1201110799950,주식회사 핌스,2025,2025,
00553025,1101112331918,(주)데이터스트림즈,2025,2025,
00124151,1801110002682,부산주공(주),2025,2025,
00157070,1201110002957,한국단자공업(주),2025,2025,
01014718,1311110127512,주식회사 제노코,2025,2025,
00870861,1615110096292,와이엠씨(주),2025,2025,
01354740,1101113197088,(주)브이씨,2025,2025,
00231354,1412110006738,주식회사 파워넷,2025,2025,
00407285,1301110060490,(주)아이컴포넌트,2025,2025,
00239596,1942110018855,(주)쎄니트,2025,2025,
00133089,1243110006349,(주)성원,2025,2025,
00577335,1701110205600,(주)대성하이텍,2025,2025,
00153755,1101110003212,태양금속공업(주),2025,2025,
00132804,1101110072928,성신양회(주),2025,2025,
01222432,1101113856618,주식회사 에스제이그룹,2025,2025,
01437186,1101117398989,이에스알켄달스퀘어위탁관리부동산투자회사주식회사,2025,2025,
00174208,1348110002155,(주)진성티이씨,2025,2025,
00659976,1615110038129,영화테크(주),2025,2025,
01160512,0000000000000,헝셩그룹유한회사,2025,2025,
01020269,2811110093358,(주) 탈로스,2025,2025,
00143262,1101110175467,(주)우진아이엔에스,2025,2025,
00114093,1341110000096,(주)덕성,2025,2025,
00181299,1201110038209,(주)상아프론테크,2025,2025,
01364747,1311110319656,(주)가온칩스,2025,2025,
00654272,1345110053211,램테크놀러지(주),2025,2025,
00990165,1101115238096,아세아시멘트(주),2025,2025,
00327819,1101110700555,(주)선익시스템,2025,2025,
00257732,1943110006189,한국정밀기계(주),2025,2025,
00176516,1101110295778,(주)금화피에스시,2025,2025,
01686755,1341110618279,(주)파인엠텍,2025,2025,
00593032,1101113555187,(주)LF,2025,2025,
00133511,1101110048002,(주)SG세계물산,2025,2025,
00414601,1101111216757,유니퀘스트(주),2025,2025,
00416654,1311110041192,유엔젤(주),2025,2025,
00102140,1101110150229,경인전자(주),2025,2025,
00171867,1345110005858,(주)에스씨디,2025,2025,
00287788,1243110039762,(주)정상제이엘에스,2025,2025,
01047840,1101115535038,미스터블루(주),2025,2025,
00124276,1243110002628,(주)부-스타,2025,2025,
00155151,1701110021006,피에이치에이(주),2025,2025,
00143527,1812110000906,(주)경동인베스트,2025,2025,
00611286,1246110281820,(주)블루탑,2025,2025,
00138446,1101110250855,(주)아가방앤컴퍼니,2025,2025,
00269612,1101111459191,(주)파워로직스,2025,2025,
00350482,1942110025941,성우테크론(주),2025,2025,
00256715,2013110001155,(주)국순당,2025,2025,
00127936,1101110012825,(주)삼일기업공사,2025,2025,
00154055,1101110086771,태원물산(주),2025,2025,
00447928,1346110015095,(주)네오티스,2025,2025,
00159564,1943110000537,한국주강(주),2025,2025,
00759294,1358110154111,(주)와이솔,2025,2025,
00112165,1801110025147,(주)디아이씨,2025,2025,
00445799,1351110045041,(주)서원인텍,2025,2025,
01478712,1314110460809,대덕전자(주),2025,2025,
00143314,1243110006456,(주)에이엔피,2025,2025,
00138701,1101110030710,아세아(주),2025,2025,
00364306,1243110020000,성우전자(주),2025,2025,
00244783,1101111402851,(주)한네트,2025,2025,
01396931,1311110312428,주식회사 유엑스엔,2025,2025,
00152783,1801110047399,(주)코메론,2025,2025,
00105299,1801110034320,금강공업(주),2025,2025,
00122898,1101110113384,(주)벽산,2025,2025,
01101041,1101115782473,패션플랫폼(주),2025,2025,
00365758,1101111342213,(주)아이앤씨테크놀로지,2025,2025,
00808022,1101112615578,(주)메지온,2025,2025,
00296005,2001110093313,(주)우리로,2025,2025,
01077577,1345110257251,우리산업(주),2025,2025,
00231372,1101110115504,롯데관광개발(주),2025,2025,
00221728,1156110003902,(주)하츠,2025,2025,
00761952,1101112663436,(주)아나패스,2025,2025,
00129271,1501110000856,삼화전기(주),2025,2025,
00164812,1101110205850,현대코퍼레이션(주),2025,2025,
00188797,1301110010669,(주)포메탈,2025,2025,
01069736,1601110165806,(주)한독크린텍,2025,2025,
01116380,1101112072869,(주)씨앤에스링크,2025,2025,
00374020,1101111790834,(주)이엘피,2025,2025,
01139965,1101114460046,주식회사 스튜디오미르,2025,2025,
00264228,1101111136145,위즈코프(주),2025,2025,
00149026,1101110008486,CS 홀딩스(주),2025,2025,
00256380,1101110320955,유아이엘(주),2025,2025,
00167004,1701110002676,흥구석유(주),2025,2025,
01199189,1101116314449,(주)이랜시스,2025,2025,
00302120,1101111433393,(주)피앤텔,2025,2025,
00112721,1101110276116,(주)대창스틸,2025,2025,
00123781,2001110001407,부국철강(주),2025,2025,
00604815,1311110060530,(주)에스디시스템,2025,2025,
01291317,1511110058698,더블유씨피(주),2025,2025,
00961774,1341110189717,(주)유티아이,2025,2025,
00154718,1101110548771,(주)비츠로셀,2025,2025,
00350020,1101111667273,(주)파인디앤씨,2025,2025,
00125646,1101110400377,삼목에스폼(주),2025,2025,
00131692,1243110004252,(주)서흥,2025,2025,
00422284,1101112024026,메가스터디(주),2025,2025,
00107677,1101110030934,(주)비비안,2025,2025,
00234227,1101110991467,(주) 유진로봇,2025,2025,
00249982,1101111064429,(주)솔본,2025,2025,
00110608,1801110000777,DSR(주),2025,2025,
01059605,1942110234534,디와이파워(주),2025,2025,
00540429,1101111817828,휴림로봇(주),2025,2025,
00398808,1101111902835,(주)디지털대성,2025,2025,
00124577,1115110005136,(주)엠소닉,2025,2025,
00265005,1211110054981,옴니시스템(주),2025,2025,
00626011,1351110074149,아이텍주식회사,2025,2025,
00348034,1101111335656,(주)액토즈소프트,2025,2025,
00832700,1760110015592,에이펙스인텍(주),2025,2025,
00761059,1211110088451,펌텍코리아 주식회사,2025,2025,
00622787,1348110324294,(주)바이오노트,2025,2025,
00136402,1101110038061,신송홀딩스(주),2025,2025,
00133335,1801110001717,성창기업지주(주),2025,2025,
00185356,1101110513633,제룡전기(주),2025,2025,
00112679,1801110039396,대창단조(주),2025,2025,
00359076,1101111143950,(주)브리지텍,2025,2025,
00439965,1601110094162,(주)나노신소재,2025,2025,
01487446,1101117525110,(주)씨엔알리서치,2025,2025,
00160205,1846110000319,한국내화(주),2025,2025,
00576789,1648110035910,디젠스(주),2025,2025,
00360674,1101111883225,코위버(주),2025,2025,
00133557,1101110155378,(주)피엔풍년,2025,2025,
00129280,1348110000563,삼화전자공업(주),2025,2025,
00141608,1801110038447,(주)오리엔탈정공,2025,2025,
00130046,1101110153033,(주)다함이텍,2025,2025,
00404288,1801110248369,(주)아진엑스텍,2025,2025,
00135467,1201110007204,(주) 승일,2025,2025,
00260383,1101110024698,대한유화(주),2025,2025,
01301252,1501110198453,티이엠씨 주식회사,2025,2025,
00579971,1101112732413,(주)칩스앤미디어,2025,2025,
00364847,1101111800659,(주)이글루코퍼레이션,2025,2025,
00883980,1601110302755,(주)아이디스,2025,2025,
00604426,1313110033856,(주)인터로조,2025,2025,
00491053,1612110007815,(주)진바이오텍,2025,2025,
00359580,1601110065824,(주)아이디스홀딩스,2025,2025,
00145109,1101110014409,(주)유한양행,2025,2025,
00201131,1801110145953,(주)아즈텍더블유비이,2025,2025,
00925189,1101112637291,(주)신화콘텍,2025,2025,
00132628,1311110005114,성문전자(주),2025,2025,
01119651,1201110336596,(주)엘리비젼,2025,2025,
00866062,1341110160494,엘티씨(주),2025,2025,
00305297,1101110522494,(주)코텍,2025,2025,
00413523,1101111283657,(주)한미글로벌건축사사무소,2025,2025,
00185222,2112110000553,(주)크린앤사이언스,2025,2025,
01115044,1601110082795,(주)안지오랩,2025,2025,
00142883,1101110366719,(주)우신시스템,2025,2025,
01188749,1357110098741,(주)지앤이헬스케어,2025,2025,
00161781,1301110026814,(주)아난티,2025,2025,
00612188,1101112722761,㈜에스티오,2025,2025,
00980122,2101110091498,(주)JB금융지주,2025,2025,
01505186,1101117616620,(주)하이딥,2025,2025,
00137012,1801110095637,(주)에스앤더블류,2025,2025,
00118275,1101110039209,(주)디아이,2025,2025,
00235183,1201110059410,(주)에이치케이,2025,2025,
00807397,2801110073830,(주)코이즈,2025,2025,
00133876,1101110236590,(주)세보엠이씨,2025,2025,
00264732,1101110896683,(주)파인디지털,2025,2025,
00879020,1101111284449,(주)유니트론텍,2025,2025,
00295547,1115110015359,(주)디지아이,2025,2025,
00186717,1615110006118,(주)태양,2025,2025,
00177816,1301110007616,대주전자재료(주),2025,2025,
00351807,1101110222151,대원미디어(주),2025,2025,
00669450,1101111973729,(주)바이오프로테크,2025,2025,
01326224,1101116860442,(주)원바이오젠,2025,2025,
00109587,1101110073877,(주)대륙제관,2025,2025,
00161976,1201110019382,한세예스24홀딩스(주),2025,2025,
00447502,1501110048707,(주)바이오톡스텍,2025,2025,
00261009,1101111061954,감성코퍼레이션(주),2025,2025,
01583953,1101112669260,(주)티엘엔지니어링,2025,2025,
00435312,1101112686024,(주)하이스틸,2025,2025,
00916826,1101111953953,(주)드림씨아이에스,2025,2025,
01187494,1101116246759,주식회사 덴티스,2025,2025,
00246417,1101110998629,(주)이오테크닉스,2025,2025,
00406727,1101111279672,(주)세진티에스,2025,2025,
00201788,1846110004684,(주)제낙스,2025,2025,
00432102,1101112691651,한국투자금융지주(주),2025,2025,
00231664,1601110058887,우리기술투자(주),2025,2025,
00115065,1101110057012,(주)동남합성,2025,2025,
00921916,1350110108445,주식회사 석경에이티,2025,2025,
00162832,1243110019293,한일단조공업(주),2025,2025,
00266934,2013110006783,(주)파루,2025,2025,
00369657,1801110220664,리노공업(주),2025,2025,
